"playoff","pt_seq","pop_mean","pop_sd","zscore","prob","prob_pct"
"y",-2,3.05735294117647,2.82783113724848,-3.08116531461328,0.0368540453699307,"3.7%"
"y",-1.9,3.05735294117647,2.82783113724848,-2.98116531461328,0.0397959973054161,"4%"
"y",-1.8,3.05735294117647,2.82783113724848,-2.88116531461328,0.0429260813627719,"4.3%"
"y",-1.7,3.05735294117647,2.82783113724848,-2.78116531461328,0.0462521666991668,"4.6%"
"y",-1.6,3.05735294117647,2.82783113724848,-2.68116531461328,0.0497821100375786,"5%"
"y",-1.5,3.05735294117647,2.82783113724848,-2.58116531461328,0.0535237245432444,"5.4%"
"y",-1.4,3.05735294117647,2.82783113724848,-2.48116531461328,0.0574847470176014,"5.7%"
"y",-1.3,3.05735294117647,2.82783113724848,-2.38116531461328,0.0616728035187806,"6.2%"
"y",-1.2,3.05735294117647,2.82783113724848,-2.28116531461328,0.0660953735363908,"6.6%"
"y",-1.1,3.05735294117647,2.82783113724848,-2.18116531461328,0.0707597528669609,"7.1%"
"y",-1,3.05735294117647,2.82783113724848,-2.08116531461328,0.0756730153548042,"7.6%"
"y",-0.899999999999999,3.05735294117647,2.82783113724848,-1.98116531461328,0.0808419736810257,"8.1%"
"y",-0.799999999999999,3.05735294117647,2.82783113724848,-1.88116531461328,0.0862731394006989,"8.6%"
"y",-0.699999999999999,3.05735294117647,2.82783113724848,-1.78116531461328,0.0919726824446922,"9.2%"
"y",-0.6,3.05735294117647,2.82783113724848,-1.68116531461328,0.0979463903179912,"9.8%"
"y",-0.5,3.05735294117647,2.82783113724848,-1.58116531461328,0.104199627240454,"10.4%"
"y",-0.399999999999999,3.05735294117647,2.82783113724848,-1.48116531461328,0.110737293488522,"11.1%"
"y",-0.299999999999999,3.05735294117647,2.82783113724848,-1.38116531461328,0.117563785207284,"11.8%"
"y",-0.199999999999999,3.05735294117647,2.82783113724848,-1.28116531461328,0.124682954971312,"12.5%"
"y",-0.0999999999999996,3.05735294117647,2.82783113724848,-1.18116531461328,0.132098073379571,"13.2%"
"y",0,3.05735294117647,2.82783113724848,-1.08116531461328,0.139811791974402,"14%"
"y",0.100000000000001,3.05735294117647,2.82783113724848,-0.981165314613276,0.147826107776888,"14.8%"
"y",0.200000000000001,3.05735294117647,2.82783113724848,-0.881165314613277,0.156142329730646,"15.6%"
"y",0.300000000000001,3.05735294117647,2.82783113724848,-0.781165314613277,0.164761047343332,"16.5%"
"y",0.4,3.05735294117647,2.82783113724848,-0.681165314613277,0.173682101809542,"17.4%"
"y",0.5,3.05735294117647,2.82783113724848,-0.581165314613278,0.182904559890605,"18.3%"
"y",0.600000000000001,3.05735294117647,2.82783113724848,-0.481165314613276,0.192426690815715,"19.2%"
"y",0.700000000000001,3.05735294117647,2.82783113724848,-0.381165314613277,0.202245946455079,"20.2%"
"y",0.800000000000001,3.05735294117647,2.82783113724848,-0.281165314613277,0.212358944999338,"21.2%"
"y",0.9,3.05735294117647,2.82783113724848,-0.181165314613277,0.222761458360381,"22.3%"
"y",1,3.05735294117647,2.82783113724848,-0.0811653146132778,0.2334484034871,"23.3%"
"y",1.1,3.05735294117647,2.82783113724848,0.0188346853867236,0.24441383776564,"24.4%"
"y",1.2,3.05735294117647,2.82783113724848,0.118834685386721,0.255650958647517,"25.6%"
"y",1.3,3.05735294117647,2.82783113724848,0.218834685386723,0.267152107620773,"26.7%"
"y",1.4,3.05735294117647,2.82783113724848,0.318834685386724,0.278908778609399,"27.9%"
"y",1.5,3.05735294117647,2.82783113724848,0.418834685386722,0.29091163085476,"29.1%"
"y",1.6,3.05735294117647,2.82783113724848,0.518834685386724,0.303150506300059,"30.3%"
"y",1.7,3.05735294117647,2.82783113724848,0.618834685386721,0.315614451465211,"31.6%"
"y",1.8,3.05735294117647,2.82783113724848,0.718834685386723,0.328291743765285,"32.8%"
"y",1.9,3.05735294117647,2.82783113724848,0.818834685386724,0.341169922191071,"34.1%"
"y",2,3.05735294117647,2.82783113724848,0.918834685386722,0.354235822235905,"35.4%"
"y",2.1,3.05735294117647,2.82783113724848,1.01883468538672,0.367475614918797,"36.7%"
